id;posicion;nac;id_acb;nombre;equipo;precio;equipo2;balance;promedio;precio2;media_min;val_ult_jor;val_ult_3;sube_15_si;mant_si;baja_15_si
1;BASE;nacional;B7G;Llull, Sergio;RMB;863.060;RM;0/0;0;863060;0;0;0;14,18;12,33;10,48
2;BASE;;BIP;Satoransky, Tomas;CAJ;835.806;CAJ;0/0;0;835806;0;0;0;13,73;11,94;10,15
3;BASE;nacional;B4R;Llompart, Pedro;CAI;703.097;CAI;0/0;0;703097;0;0;0;11,55;10,04;8,54
4;BASE;nacional;Y6K;Granger, Jayson;UNI;695.578;UNI;0/0;0;695578;0;0;0;11,43;9,94;8,45
5;BASE;;B72;Huertas, Marcelinho;FCB;674.550;FCB;0/0;0;674550;0;0;0;11,08;9,64;8,19
6;BASE;nacional;A56;Oliver, Albert;HGC;673.493;HGC;0/0;0;673493;0;0;0;11,06;9,62;8,18
7;BASE;nacional;B68;Rodríguez, Sergio;RMB;666.483;RM;0/0;0;666483;0;0;0;10,95;9,52;8,09
8;BASE;nacional;A1X;Úriz, Ricardo;CAN;651.994;CAN;0/0;0;651994;0;0;0;10,71;9,31;7,92
9;BASE;nacional;A3K;Cabezas, Carlos;FUE;626.854;FUE;0/0;0;626854;0;0;0;10,3;8,96;7,61
10;BASE;;148;Neto, Raulzinho;GBC;598.660;GBC;0/0;0;598660;0;0;0;9,84;8,55;7,27
11;BASE;extra;H00;Hodge, Walter;LBO;551.709;LBO;0/0;0;551709;0;0;0;9,06;7,88;6,7
12;BASE;nacional;BFW;Colom, Quino;EST;533.187;EST;0/0;0;533187;0;0;0;8,76;7,62;6,47
13;BASE;nacional;B1R;Salgado, Javier;GBC;527.391;GBC;0/0;0;527391;0;0;0;8,66;7,53;6,4
14;BASE;nacional;B86;San Miguel, Rodrigo;UCM;518.776;UCAM;0/0;0;518776;0;0;0;8,52;7,41;6,3
15;BASE;extra;H16;Waters, Dominic;BXA;513.137;BXA;0/0;0;513137;0;0;0;8,43;7,33;6,23
16;BASE;;BK4;Van Rossom, Sam;VBC;510.897;VBC;0/0;0;510897;0;0;0;8,39;7,3;6,2
17;BASE;extra;H07;Lafayette, Oliver;VBC;501.072;VBC;0/0;0;501072;0;0;0;8,23;7,16;6,08
18;BASE;;H23;Pullen, Jacob;FCB;480.714;FCB;0/0;0;480714;0;0;0;7,9;6,87;5,84
19;BASE;nacional;AZF;Grimau, Roger;BBB;466.264;BB;0/0;0;466264;0;0;0;7,66;6,66;5,66
20;BASE;;H26;Xanthopoulos, Vassilis;RNM;446.685;RNM;0/0;0;446685;0;0;0;7,34;6,38;5,42
21;BASE;;BIC;Calloway, Earl;UNI;421.835;UNI;0/0;0;421835;0;0;0;6,93;6,03;5,12
22;BASE;;H09;Tabu, Jonathan;CAI;403.355;CAI;0/0;0;403355;0;0;0;6,63;5,76;4,9
23;BASE;nacional;Y79;Franch, Josep;CAJ;396.287;CAJ;0/0;0;396287;0;0;0;6,51;5,66;4,81
24;BASE;nacional;A98;López, Raül;BBB;392.254;BB;0/0;0;392254;0;0;0;6,44;5,6;4,76
25;BASE;;10A;Porta, Antonio;VAL;373.575;VAL;0/0;0;373575;0;0;0;6,14;5,34;4,54
26;BASE;;H33;Cochran, Nik;JOV;365.469;FIATC;0/0;0;365469;0;0;0;6;5,22;4,44
27;BASE;nacional;745;Luz, Rafa;RNM;322.199;RNM;0/0;0;322199;0;0;0;5,29;4,6;3,91
28;BASE;nacional;YEF;Bellas, Tomás;HGC;303.442;HGC;0/0;0;303442;0;0;0;4,99;4,33;3,68
29;BASE;nacional;Y84;Pérez, Daniel;FUE;288.209;FUE;0/0;0;288209;0;0;0;4,73;4,12;3,5
30;BASE;;BJP;Heurtel, Thomas;LBO;279.633;LBO;0/0;0;279633;0;0;0;4,59;3,99;3,4
31;BASE;nacional;B2Q;Sada, Víctor;FCB;276.023;FCB;0/0;0;276023;0;0;0;4,53;3,94;3,35
32;BASE;nacional;727;Creus, Joan;BXA;270.822;BXA;0/0;0;270822;0;0;0;4,45;3,87;3,29
33;BASE;;H42;Vilhjálmsson, H.;VAL;267.846;VAL;0/0;0;267846;0;0;0;4,4;3,83;3,25
34;BASE;;243;Draper, Dontaye;RMB;250.616;RM;0/0;0;250616;0;0;0;4,12;3,58;3,04
35;BASE;nacional;117;Fernández, Jaime;EST;232.729;EST;0/0;0;232729;0;0;0;3,82;3,32;2,83
36;BASE;nacional;BLP;Vives, Guillem;JOV;214.982;FIATC;0/0;0;214982;0;0;0;3,53;3,07;2,61
37;BASE;nacional;BA8;Bivià, Carles;CAN;202.843;CAN;0/0;0;202843;0;0;0;3,33;2,9;2,46
38;BASE;nacional;773;Izquierdo, Antonio;VAL;190.312;VAL;0/0;0;190312;0;0;0;3,13;2,72;2,31
39;BASE;nacional;T06;Van Oostrum, Devon;LBO;173.826;LBO;0/0;0;173826;0;0;0;2,86;2,48;2,11
40;BASE;;263;Radicevic, Nikola;CAJ;165.720;CAJ;0/0;0;165720;0;0;0;2,72;2,37;2,01
41;BASE;nacional;YCL;Alvarado, Óscar;HGC;155.421;HGC;0/0;0;155421;0;0;0;2,55;2,22;1,89
42;BASE;nacional;BI1;Marín, Javier;CAI;151.721;CAI;0/0;0;151721;0;0;0;2,49;2,17;1,84
43;BASE;nacional;8D9;Sanz, Iñaki;RNM;146.454;RNM;0/0;0;146454;0;0;0;2,41;2,09;1,78
44;BASE;nacional;Y9M;Servera, Miquel;UCM;141.943;UCAM;0/0;0;141943;0;0;0;2,33;2,03;1,72
45;BASE;nacional;BH7;Sanz, Jorge;FUE;139.781;FUE;0/0;0;139781;0;0;0;2,3;2;1,7
46;BASE;nacional;81E;Brizuela, Darío;EST;136.899;EST;0/0;0;136899;0;0;0;2,25;1,96;1,66
47;BASE;nacional;S6P;Arranz, Jonathan;VAL;116.302;VAL;0/0;0;116302;0;0;0;1,91;1,66;1,41
